action_type,combined_shot_type,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,game_date,matchup,opponent
Jump Shot,Jump Shot,10,1,0,2000-01,27,18,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2000-10-31,LAL @ POR,POR
Jump Shot,Jump Shot,10,1,0,2000-01,22,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-10-31,LAL @ POR,POR
Jump Shot,Jump Shot,7,1,0,2000-01,45,16,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-10-31,LAL @ POR,POR
Jump Shot,Jump Shot,6,1,0,2000-01,52,22,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-10-31,LAL @ POR,POR
Driving Dunk Shot,Dunk,6,2,0,2000-01,19,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-10-31,LAL @ POR,POR
Jump Shot,Jump Shot,9,3,0,2000-01,32,14,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-10-31,LAL @ POR,POR
Layup Shot,Layup,8,3,0,2000-01,52,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-10-31,LAL @ POR,POR
Jump Shot,Jump Shot,8,3,0,2000-01,5,2,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-10-31,LAL @ POR,POR
Jump Shot,Jump Shot,6,3,0,2000-01,12,12,1.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,2000-10-31,LAL @ POR,POR
Running Jump Shot,Jump Shot,3,3,0,2000-01,36,12,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-10-31,LAL @ POR,POR
Jump Shot,Jump Shot,1,3,0,2000-01,56,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2000-10-31,LAL @ POR,POR
Jump Shot,Jump Shot,11,1,0,2000-01,0,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-01,LAL vs. UTA,UTA
Running Jump Shot,Jump Shot,7,1,0,2000-01,9,12,1.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,2000-11-01,LAL vs. UTA,UTA
Jump Shot,Jump Shot,2,1,0,2000-01,44,9,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-11-01,LAL vs. UTA,UTA
Jump Shot,Jump Shot,1,1,0,2000-01,16,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-01,LAL vs. UTA,UTA
Jump Shot,Jump Shot,0,1,0,2000-01,48,20,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,2000-11-01,LAL vs. UTA,UTA
Driving Layup Shot,Layup,0,1,0,2000-01,1,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-01,LAL vs. UTA,UTA
Jump Shot,Jump Shot,8,2,0,2000-01,50,25,1.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2000-11-01,LAL vs. UTA,UTA
Jump Shot,Jump Shot,11,3,0,2000-01,29,16,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-01,LAL vs. UTA,UTA
Driving Layup Shot,Layup,10,3,0,2000-01,46,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-01,LAL vs. UTA,UTA
Jump Shot,Jump Shot,10,3,0,2000-01,8,14,0.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,2000-11-01,LAL vs. UTA,UTA
Jump Shot,Jump Shot,9,3,0,2000-01,4,18,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-01,LAL vs. UTA,UTA
Running Jump Shot,Jump Shot,7,3,0,2000-01,57,11,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-11-01,LAL vs. UTA,UTA
Running Jump Shot,Jump Shot,5,3,0,2000-01,47,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-01,LAL vs. UTA,UTA
Running Jump Shot,Jump Shot,5,3,0,2000-01,11,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-01,LAL vs. UTA,UTA
Layup Shot,Layup,2,3,0,2000-01,36,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-01,LAL vs. UTA,UTA
Jump Shot,Jump Shot,2,3,0,2000-01,4,20,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,2000-11-01,LAL vs. UTA,UTA
Jump Shot,Jump Shot,0,3,0,2000-01,30,26,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2000-11-01,LAL vs. UTA,UTA
Jump Shot,Jump Shot,8,4,0,2000-01,19,19,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-01,LAL vs. UTA,UTA
Jump Shot,Jump Shot,6,4,0,2000-01,22,8,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-11-01,LAL vs. UTA,UTA
Running Jump Shot,Jump Shot,1,4,0,2000-01,20,12,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-11-01,LAL vs. UTA,UTA
Jump Shot,Jump Shot,0,4,0,2000-01,30,13,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-11-01,LAL vs. UTA,UTA
Jump Shot,Jump Shot,11,1,0,2000-01,26,17,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2000-11-04,LAL @ VAN,VAN
Jump Shot,Jump Shot,10,1,0,2000-01,58,20,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-04,LAL @ VAN,VAN
Layup Shot,Layup,7,1,0,2000-01,33,1,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,LAL @ VAN,VAN
Layup Shot,Layup,5,1,0,2000-01,58,1,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,LAL @ VAN,VAN
Reverse Layup Shot,Layup,4,1,0,2000-01,9,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,LAL @ VAN,VAN
Jump Shot,Jump Shot,5,2,0,2000-01,33,16,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-04,LAL @ VAN,VAN
Jump Shot,Jump Shot,3,2,0,2000-01,30,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-04,LAL @ VAN,VAN
Jump Shot,Jump Shot,0,2,0,2000-01,4,27,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,2000-11-04,LAL @ VAN,VAN
Jump Shot,Jump Shot,11,3,0,2000-01,12,18,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-11-04,LAL @ VAN,VAN
Layup Shot,Layup,10,3,0,2000-01,13,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,LAL @ VAN,VAN
Jump Shot,Jump Shot,8,3,0,2000-01,59,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-04,LAL @ VAN,VAN
Jump Shot,Jump Shot,8,3,0,2000-01,29,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-04,LAL @ VAN,VAN
Layup Shot,Layup,4,3,0,2000-01,29,2,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,LAL @ VAN,VAN
